iter	RMSE
0	2.789849774
1	2.697610742
2	2.614641263
3	2.532731468
4	2.457902753
5	2.390084373
6	2.332220926
7	2.274340019
8	2.223650881
9	2.175574767
10	2.129896981
11	2.083957213
12	2.039779697
13	2.005416379
14	1.974654185
15	1.941636464
16	1.910692581
17	1.882128814
18	1.855591944
19	1.831770687
20	1.811427207
21	1.788250949
22	1.76493621
23	1.743864189
24	1.723761118
25	1.706204743
26	1.687703352
27	1.672789955
28	1.656116933
29	1.641700539
30	1.627548899
31	1.612781306
32	1.60150431
33	1.590723646
34	1.579512554
35	1.569053202
36	1.555216465
37	1.543524564
38	1.531666044
39	1.519080003
40	1.511953119
41	1.501543513
42	1.495038336
43	1.487428271
44	1.478544044
45	1.469551794
46	1.463148221
47	1.456407249
48	1.450796556
49	1.443598074
50	1.437770866
51	1.433247158
52	1.4246681
53	1.418072832
54	1.412524029
55	1.405114223
56	1.401975304
57	1.396117543
58	1.389234131
59	1.386127651
60	1.380968817
61	1.376449137
62	1.370904412
63	1.366412666
64	1.361860144
65	1.356008164
66	1.352015021
67	1.347853034
68	1.343660828
69	1.3390372
70	1.336150937
71	1.333249944
72	1.32929196
73	1.326629101
74	1.322908535
75	1.318447409
76	1.315359546
77	1.313022703
78	1.309857285
79	1.307522583
80	1.303855058
81	1.301942952
82	1.298823394
83	1.295796492
84	1.292858714
85	1.289649173
86	1.287307866
87	1.283719087
88	1.28064613
89	1.277161072
90	1.274859703
91	1.272780989
92	1.270473866
93	1.267609953
94	1.265433578
95	1.264223425
96	1.260978697
97	1.257659531
98	1.255947331
99	1.252933472
100	1.251890922
101	1.249548183
102	1.247340987
103	1.244698766
104	1.241313522
105	1.239579807
106	1.237646848
107	1.2353098
108	1.233263698
109	1.231204855
110	1.229661619
111	1.228099999
112	1.225073044
113	1.223334141
114	1.222379568
115	1.221195823
116	1.21878451
117	1.216450206
118	1.214546369
119	1.211701247
120	1.209457488
121	1.207292345
122	1.204511198
123	1.202614727
124	1.200678842
125	1.198563669
126	1.196239138
127	1.194691498
128	1.193630086
129	1.192382281
130	1.191211724
131	1.189281669
132	1.186785428
133	1.184979232
134	1.183372302
135	1.181632038
136	1.179866987
137	1.179335755
138	1.177207094
139	1.175861131
140	1.173786806
141	1.172401892
142	1.170416575
143	1.167855641
144	1.166226255
145	1.165197875
146	1.163305314
147	1.161965709
148	1.159506532
149	1.156845655
150	1.15421554
151	1.153022363
152	1.15192252
153	1.150594105
154	1.149533291
155	1.14777333
156	1.14580455
157	1.14400584
158	1.142739514
159	1.140543518
160	1.138882981
161	1.137570743
162	1.136081273
163	1.134059682
164	1.132921341
165	1.130861737
166	1.128408612
167	1.126641066
168	1.125310856
169	1.123706479
170	1.122378686
171	1.120859523
172	1.119267766
173	1.117584195
174	1.116417642
175	1.115544452
176	1.11437632
177	1.112929335
178	1.111456872
179	1.109642274
180	1.107953717
181	1.10639796
182	1.104892643
183	1.103013589
184	1.101182797
185	1.099580706
186	1.098131494
187	1.096585344
188	1.095263989
189	1.093910643
190	1.092771437
191	1.091636948
192	1.090353169
193	1.08858398
194	1.087284429
195	1.085429208
196	1.084245717
197	1.082991992
198	1.081685073
199	1.080252956
200	1.079855178
201	1.078610281
202	1.077892705
203	1.076915994
204	1.075361563
205	1.074522498
206	1.074288759
207	1.073599638
208	1.072135026
209	1.070976928
210	1.070469987
211	1.069134813
212	1.06747964
213	1.066163723
214	1.065132456
215	1.064096775
216	1.062451149
217	1.061638591
218	1.061459672
219	1.059844198
220	1.058872584
221	1.057149549
222	1.055574793
223	1.055502598
224	1.054513082
225	1.054113617
226	1.052697081
227	1.051392283
228	1.050439594
229	1.049396387
230	1.048041812
231	1.047183568
232	1.045935211
233	1.044935239
234	1.044060044
235	1.042570171
236	1.041457104
237	1.040110751
238	1.040062702
239	1.038375747
240	1.03741859
241	1.03737795
242	1.03637125
243	1.035022265
244	1.033371143
245	1.032899422
246	1.032187785
247	1.031634004
248	1.030118301
249	1.029473613
250	1.028432616
251	1.027368566
252	1.027318285
253	1.026486507
254	1.025198851
255	1.024074705
256	1.023297473
257	1.022418779
258	1.02172666
259	1.020650805
260	1.01919978
261	1.018574011
262	1.01774263
263	1.016513159
264	1.015516453
265	1.015329697
266	1.015144349
267	1.013974435
268	1.012887024
269	1.011577728
270	1.011442703
271	1.010626236
272	1.010433078
273	1.009670786
274	1.008539286
275	1.007728556
276	1.007025833
277	1.006341205
278	1.004990671
279	1.004427738
280	1.003109669
281	1.001826593
282	1.001577571
283	1.000781044
284	1.000030455
285	0.9995848408
286	0.9986306722
287	0.997708691
288	0.9970447484
289	0.9962690972
290	0.9951195817
291	0.993864956
292	0.9938352063
293	0.9929651417
294	0.9918548465
295	0.9908545109
296	0.9898929187
297	0.9894688563
298	0.9883402718
299	0.9874144364
300	0.9868613464
301	0.9857192433
302	0.9845384437
303	0.9834551112
304	0.982276787
305	0.9815266625
306	0.9804927681
307	0.9799276575
308	0.9787810333
309	0.9776459598
310	0.9765310052
311	0.975292867
312	0.9744098419
313	0.9737701382
314	0.9728316748
315	0.9722562317
316	0.9713173366
317	0.9706963274
318	0.9704844814
319	0.9698258512
320	0.9687638309
321	0.9680385298
322	0.9675283617
323	0.9672009158
324	0.9665555008
325	0.9656606136
326	0.9646691273
327	0.9641056468
328	0.9634001165
329	0.9626097952
330	0.961606743
331	0.9608440479
332	0.9600474971
333	0.959009702
334	0.9577852333
335	0.9576821125
336	0.9569459744
337	0.9568155918
338	0.9560622205
339	0.9550572017
340	0.95451914
341	0.9537901039
342	0.9532040557
343	0.9525464422
344	0.9519361388
345	0.9513354148
346	0.9508328267
347	0.9502943439
348	0.9493500293
349	0.9485467921
350	0.9477676277
351	0.9470158841
352	0.946943913
353	0.9462231418
354	0.9461692725
355	0.9455872912
356	0.9446328577
357	0.9445827265
358	0.9438948571
359	0.9431717407
360	0.9426727916
361	0.9417618762
362	0.9415013044
363	0.940974282
364	0.9404940423
365	0.9396427048
366	0.9391675879
367	0.9385350951
368	0.9384782418
369	0.9380744976
370	0.937438419
371	0.9365675625
372	0.9361064487
373	0.9360786405
374	0.935500162
375	0.9350616183
376	0.9344899552
377	0.9343729402
378	0.9338618223
379	0.933049723
380	0.9318960624
381	0.9310587575
382	0.930088897
383	0.9295093688
384	0.9287958364
385	0.9287695244
386	0.9287479033
387	0.9280684206
388	0.9274210831
389	0.9267769546
390	0.9255774842
391	0.9252311247
392	0.9248261719
393	0.9240803268
394	0.9236964244
395	0.9228411663
396	0.9227705794
397	0.9222418199
398	0.9220046589
399	0.9214305583
400	0.9208687604
401	0.9199684927
402	0.9194425373
403	0.9193875202
404	0.9186517696
405	0.9182394935
406	0.9173495337
407	0.9166925477
408	0.9166683073
409	0.9155741605
410	0.915043496
411	0.9144803311
412	0.9135045935
413	0.9130153684
414	0.9126661073
415	0.9120779006
416	0.9117939195
417	0.9114834444
418	0.9110877638
419	0.9106146051
420	0.910328433
421	0.9097561477
422	0.9091250616
423	0.9083702471
