iter	Logloss
0	0.6803110476
1	0.6679568725
2	0.654857769
3	0.6416397668
4	0.631161503
5	0.6213497317
6	0.6120997558
7	0.6010850646
8	0.5928485099
9	0.5828967509
10	0.5756666996
11	0.5692215781
12	0.5633557422
13	0.5567313941
14	0.5499089454
15	0.5432567049
16	0.538215904
17	0.5341994105
18	0.5300780885
19	0.5256101518
20	0.5219105128
21	0.5178997964
22	0.5145509382
23	0.5107914191
24	0.5072348363
25	0.5041776633
26	0.5011374109
27	0.4975195101
28	0.4938374873
29	0.4912444795
30	0.4886584521
31	0.4856311621
32	0.4829445519
33	0.4801981369
34	0.47849274
35	0.476259782
36	0.4745419467
37	0.4719721226
38	0.4699567853
39	0.4677904565
40	0.4660852969
41	0.4646100585
42	0.4631683725
43	0.4616454485
44	0.4597896409
45	0.4582215496
46	0.456375972
47	0.4546264572
48	0.4534423732
49	0.4518760234
50	0.4503849071
51	0.4489116156
52	0.4476858666
53	0.4463729098
54	0.4451732389
55	0.4437902038
56	0.4427705294
57	0.4413146415
58	0.4401363159
59	0.4389281625
60	0.4381044978
61	0.4373165867
62	0.4363429104
63	0.4354820545
64	0.4340448196
65	0.4327288618
66	0.4315317447
67	0.4305285463
68	0.4294514758
69	0.4285166978
70	0.42758376
71	0.4270882733
72	0.4263330993
73	0.4254931986
74	0.4246118577
75	0.4237392444
76	0.4230302856
77	0.4219447101
78	0.4212175075
79	0.4207858231
80	0.420042503
81	0.4196656379
82	0.4190095658
83	0.4182301858
84	0.4173614838
85	0.4167731909
86	0.4154047679
87	0.414770606
88	0.4138905896
89	0.4130668779
90	0.412653549
91	0.412035208
92	0.411381121
93	0.4107247107
94	0.4103155361
95	0.4096573894
96	0.4090008768
97	0.4079408503
98	0.4074886714
99	0.4070402991
100	0.406524415
101	0.4060051439
102	0.4055908761
103	0.4049921465
104	0.4045690049
105	0.4041133711
106	0.4037318227
107	0.4032921967
108	0.4027389315
109	0.4024345905
110	0.4021320506
111	0.4013738924
112	0.4007915793
113	0.4004807092
114	0.3999163948
115	0.3995517558
116	0.3989849074
117	0.3983919443
118	0.3979901377
119	0.3977363574
120	0.3973944361
121	0.3970165245
122	0.3966107223
123	0.3960644653
124	0.3954758482
125	0.3951689823
126	0.3947762959
127	0.3941939338
128	0.3938366178
129	0.3934388795
130	0.3930227462
131	0.3927433804
132	0.3922628264
133	0.3920082776
134	0.3918015515
135	0.3915638142
136	0.3909328753
137	0.3906385465
138	0.3903649277
139	0.3897461794
140	0.3894715269
141	0.3888093719
142	0.3884903221
143	0.3882154282
144	0.3879176686
145	0.3874021334
146	0.3871951555
147	0.3868528863
148	0.3865498138
149	0.386224391
150	0.3860143825
151	0.3857552689
152	0.385532361
153	0.3852278231
154	0.3849465689
155	0.3846751572
156	0.38437854
157	0.3839469474
158	0.3837532629
159	0.3835953811
160	0.383325985
161	0.3830171545
162	0.3825554858
163	0.3822072667
164	0.3816277223
165	0.3812331801
166	0.3809605456
167	0.3806109563
168	0.3803235908
169	0.3800120012
170	0.3797748424
171	0.3794260025
172	0.37902408
173	0.3788432726
174	0.3785251426
175	0.3783270143
176	0.3781187145
177	0.3777973953
178	0.3775323267
179	0.3772430242
180	0.3769813718
181	0.3766386957
182	0.3762401251
183	0.3760376702
184	0.3758694398
185	0.3755541701
186	0.3753245359
187	0.3752340277
188	0.3749316386
189	0.3746907135
190	0.3745505277
191	0.3742687739
192	0.3739537509
193	0.3738043881
194	0.3735146104
195	0.3732821107
196	0.3731774979
197	0.3729965546
198	0.37275066
199	0.3723829863
200	0.3718101718
201	0.371564999
202	0.3713637737
203	0.371165377
204	0.3709689822
205	0.3707589266
206	0.3705411754
207	0.3704063739
208	0.3701454199
209	0.369921718
210	0.3692038642
211	0.3688130505
212	0.368594507
213	0.3682121461
214	0.3680048584
215	0.3678434787
216	0.3675608413
217	0.367394801
218	0.3671519467
219	0.3669482878
220	0.3666750339
221	0.3663514276
222	0.366183118
223	0.3657900203
224	0.3655768514
225	0.3654181041
226	0.3652272393
227	0.3650206947
228	0.364891341
229	0.3646626886
230	0.3642460153
231	0.364031374
232	0.3635934287
233	0.3634192641
234	0.3632694152
235	0.3630864863
236	0.3627218724
237	0.3625518682
238	0.3622123314
239	0.3620827914
240	0.3618970756
241	0.361755028
242	0.3616174971
243	0.3615049938
244	0.361348013
245	0.3610784453
246	0.3608263346
247	0.3607089967
248	0.3605086204
249	0.3603547593
250	0.3601212013
251	0.3600343128
252	0.3598550635
253	0.3595048182
254	0.3591852663
255	0.3590355291
256	0.3588622817
257	0.3586356496
258	0.3585105597
259	0.3582645539
260	0.3580756773
261	0.3579597347
262	0.3578217542
263	0.3576947714
264	0.3575044453
265	0.3573443319
266	0.356969306
267	0.3568615678
268	0.3565218254
269	0.356336307
270	0.3561483415
271	0.3560002631
272	0.3555426285
273	0.3553712277
274	0.3552510884
275	0.3548999288
276	0.35468024
277	0.3545056679
278	0.3543857074
279	0.3542031695
280	0.354022812
281	0.3537977356
282	0.3534848608
283	0.3532655196
284	0.3531170271
285	0.3529494318
286	0.3527169612
287	0.3525757321
288	0.3522878666
289	0.3520671213
290	0.3519170744
291	0.3517903558
292	0.3516549797
293	0.3514170336
294	0.3512014541
295	0.3510727002
296	0.350958505
297	0.350804826
298	0.3504187602
299	0.3501359565
300	0.3499593758
301	0.3496654711
302	0.3495459333
303	0.3493745875
304	0.3490074659
305	0.3488714076
306	0.3487114224
307	0.3485108557
308	0.3483191646
309	0.3481583847
310	0.3480420227
311	0.3476726376
312	0.3475204953
313	0.3473673291
314	0.3470786722
315	0.3469021871
316	0.3467584732
317	0.3466127061
318	0.3464735147
319	0.3463698209
320	0.3462574489
321	0.3460804689
322	0.345884455
323	0.3457171158
324	0.345577347
325	0.345463355
326	0.3450459219
327	0.3447293884
328	0.3444371693
329	0.34426944
330	0.3441039735
331	0.343887655
332	0.3435460143
333	0.3433761888
334	0.3431383539
335	0.3429925417
336	0.3427440059
337	0.3424169041
338	0.3422384593
339	0.3420671516
340	0.3418458237
341	0.3417029779
342	0.3415011842
343	0.3412775259
344	0.3410750018
345	0.3407340161
346	0.3405685607
347	0.3401982401
348	0.3399772608
349	0.3396648129
350	0.3394925754
351	0.3392932572
352	0.3391156407
353	0.3388626462
354	0.3386295389
355	0.3384327659
356	0.3382860396
357	0.3381546194
358	0.337909563
359	0.3376464908
360	0.3375225539
361	0.3374112496
362	0.337209282
363	0.3370102945
364	0.3368487109
365	0.3365561525
366	0.336387709
367	0.3362142789
368	0.3359315322
369	0.3356749409
370	0.3355382449
371	0.3353729222
372	0.3352673794
373	0.3351714564
374	0.3349752738
375	0.3347959798
376	0.3346017287
377	0.334496686
378	0.3343622669
379	0.3341265693
380	0.3340364873
381	0.3337486743
382	0.3335829439
383	0.3334679008
384	0.3333395897
385	0.3331967917
386	0.3330442532
387	0.3329434365
388	0.3328374221
389	0.3326551226
390	0.3324299098
391	0.3323230938
392	0.3321519171
393	0.3319362
394	0.3317475985
395	0.3314860341
396	0.3313541783
397	0.3312210783
398	0.3310609717
399	0.3308683528
400	0.3307398912
401	0.3305741584
402	0.3304068118
403	0.3301556451
404	0.3300052512
405	0.3298125465
406	0.3297003388
407	0.3294885977
408	0.3293681207
409	0.3291373817
410	0.3289455239
411	0.3286468356
412	0.3285010401
413	0.328243036
414	0.3280875128
415	0.3278942852
416	0.3277172192
417	0.3274831197
418	0.3273510823
419	0.3272251977
420	0.3271217456
421	0.3269920485
422	0.3268490804
423	0.3265176566
424	0.3263433998
425	0.3261584644
426	0.3259707796
427	0.3258100484
428	0.3256953263
429	0.3255183131
430	0.3252843795
431	0.3250871572
432	0.3249992954
433	0.3248400413
434	0.3247323398
435	0.3245568194
436	0.3243111997
437	0.3241030627
438	0.3238187517
439	0.3236207399
440	0.3234545676
441	0.3233078524
442	0.32306364
443	0.3229088712
444	0.3227440837
445	0.3226489058
446	0.3224969206
447	0.3222395862
448	0.3220738156
449	0.321942225
450	0.3217171266
451	0.3215758328
452	0.3213916516
453	0.3211487007
454	0.3210570152
455	0.3208832867
456	0.3207962701
457	0.3206717204
458	0.3205592005
459	0.3203505837
460	0.3201341614
461	0.3199276134
462	0.3197796826
463	0.3195465325
464	0.3194083575
465	0.3192981223
466	0.3191952895
467	0.3190801948
468	0.3188843068
469	0.3187946275
470	0.318570986
471	0.3184213726
472	0.3182061403
473	0.3180707587
474	0.3179509682
475	0.3178381309
476	0.3177269403
477	0.317608515
478	0.317486167
479	0.317358353
480	0.3172589106
481	0.3171620514
482	0.3169264315
483	0.3168167576
484	0.3166739522
485	0.3165948086
486	0.3164667866
487	0.3163445477
488	0.3162188201
489	0.3159984671
490	0.315801892
491	0.3156992981
492	0.3155938664
493	0.3153237615
494	0.3150971079
495	0.3149657273
496	0.3148274257
497	0.3145410984
498	0.3143845505
499	0.3142275383
500	0.3140725456
501	0.3138616237
502	0.3137622521
503	0.3135396268
504	0.3133951836
505	0.3132583862
506	0.3131187922
507	0.3129487968
508	0.3128354397
509	0.3126812468
510	0.3125792216
511	0.312450395
512	0.3123074539
513	0.3121258026
514	0.311970826
515	0.3118709183
516	0.3116375206
517	0.3114897962
518	0.3112356455
519	0.3111200679
520	0.3109361846
521	0.3108376974
522	0.3106814314
523	0.3106132458
524	0.3104813877
525	0.3103570516
526	0.3101684268
527	0.3101049535
528	0.3099306513
529	0.3097305669
530	0.3095726024
531	0.3094221655
532	0.3092120052
533	0.3090278248
534	0.3088560254
535	0.3087541133
536	0.3086290735
537	0.3085346596
538	0.308394414
539	0.308306589
540	0.3081557089
541	0.3080291209
542	0.3079413753
543	0.3076769378
544	0.3075730585
545	0.3074889238
546	0.3072534595
547	0.3071191173
548	0.3070040791
549	0.3068673165
550	0.3066890278
551	0.3065427266
552	0.3063529404
553	0.3062125505
554	0.3061126847
555	0.3060134031
556	0.3059161526
557	0.3057660129
558	0.3056244601
559	0.3054751638
560	0.3053458339
561	0.3051205043
562	0.3049548412
563	0.3048303543
564	0.3046498558
565	0.3045523024
566	0.3044172652
567	0.3042358083
568	0.3041024724
569	0.3039466981
570	0.3037758402
571	0.3036753695
572	0.3035294292
573	0.3034468109
574	0.3033052108
575	0.3031503401
576	0.3030735028
577	0.3029222074
578	0.3027519929
579	0.302611195
580	0.3025130774
581	0.3024318308
582	0.3022687641
583	0.302139847
584	0.3020532856
585	0.3018927715
586	0.3017705005
587	0.3016303676
588	0.3013776829
589	0.3013120838
590	0.3011300062
591	0.301059938
592	0.3008839679
593	0.3008099741
594	0.3006290917
595	0.300550256
596	0.3004280744
597	0.3002970692
598	0.3001974976
599	0.3000490928
600	0.2998192392
601	0.299712594
602	0.299569309
603	0.2992616784
604	0.2990478991
605	0.2988612301
606	0.2987169767
607	0.298638406
608	0.2984446977
609	0.2983498036
610	0.2981167728
611	0.2979522647
612	0.2978404519
613	0.2976907337
614	0.2975193281
615	0.2973388577
616	0.2971942021
617	0.2970158248
618	0.2968537341
619	0.2966712981
620	0.296522135
621	0.2964491391
622	0.2963020046
623	0.2960852387
624	0.2959807211
625	0.2958744515
626	0.2957094674
627	0.2955098511
628	0.295370747
629	0.2952966719
630	0.2951813744
631	0.2949685603
632	0.2947566636
633	0.2946437852
634	0.2945268181
635	0.2943377693
636	0.2942940133
637	0.2942004867
638	0.2941237026
639	0.2939850398
640	0.2938720325
641	0.2936786595
642	0.2935921636
643	0.293456298
644	0.2933164088
645	0.2932300536
646	0.2930629791
647	0.2929381295
648	0.2928560186
649	0.2927035868
650	0.2926034221
651	0.2924129914
652	0.2922850182
653	0.2920837472
654	0.2919950681
655	0.2918868532
656	0.2917963997
657	0.2916545085
658	0.2914309912
659	0.2912213613
660	0.2911329957
661	0.2909097933
662	0.2908089795
663	0.2905990545
664	0.2905297561
665	0.2904605508
666	0.290304961
667	0.2901552395
668	0.2900355187
669	0.2898415015
670	0.2896400379
671	0.2895603876
672	0.2894404122
673	0.289309802
674	0.2891817739
675	0.2889584952
676	0.2888440215
677	0.288689644
678	0.2885445983
679	0.2884808524
680	0.2883617103
681	0.2880983094
682	0.2880143555
683	0.2878896124
684	0.2878093449
685	0.2876540581
686	0.2875280686
687	0.287450162
688	0.2872728665
689	0.2870679809
690	0.2869325075
691	0.2867977801
692	0.2866871147
693	0.2864415418
694	0.2863332719
695	0.2861802594
696	0.2860910102
697	0.2859193346
698	0.2857601871
699	0.2856548535
700	0.2855804019
701	0.2854195469
702	0.2852298183
703	0.2851352889
704	0.2850727824
705	0.2849411069
706	0.2847762018
707	0.2847223256
708	0.2846117069
709	0.2844990483
710	0.2842835498
711	0.2841830348
712	0.284058389
713	0.2839130524
714	0.2837384743
715	0.2836281751
716	0.2834767689
717	0.2833260108
718	0.2832485239
719	0.2831338515
720	0.2830203204
721	0.2829235248
722	0.2828077121
723	0.2827419932
724	0.282623227
725	0.2825005888
726	0.2823690664
727	0.2822269902
728	0.282132926
729	0.2819580152
730	0.2817631076
731	0.2816426051
732	0.2815217728
733	0.2814237334
734	0.281282637
735	0.2812107679
736	0.2811152647
737	0.280939931
738	0.2807560174
739	0.2805960372
740	0.2804487402
741	0.2803407945
742	0.2802583506
743	0.2801615677
744	0.2800371868
745	0.2799534673
746	0.2798525262
747	0.2797094708
748	0.2796102493
749	0.2795197771
750	0.2793223275
751	0.2792341862
752	0.2791303106
753	0.2790348968
754	0.2789058531
755	0.2787894475
756	0.2786306061
757	0.2785126102
758	0.2783330906
759	0.2782868168
760	0.2781832326
761	0.2781001286
762	0.2779755515
763	0.2778570594
764	0.2777345708
765	0.2775930051
766	0.2774370862
767	0.277309212
768	0.2771800868
769	0.2770846548
770	0.2769724875
771	0.2768969827
772	0.2767930508
773	0.2766746296
774	0.2765209859
775	0.2764117068
776	0.2763473417
777	0.2762115324
778	0.2760924751
779	0.2759430493
780	0.2758275318
781	0.2757276707
782	0.2756484027
783	0.2755708918
784	0.2754875741
785	0.2753406789
786	0.2752604211
787	0.2750968285
788	0.2750391468
789	0.2748730084
790	0.2747324522
791	0.274622806
792	0.2745188943
793	0.2743098999
794	0.2742132326
795	0.2740643789
796	0.2739812564
797	0.2738487764
798	0.2736904662
799	0.2735960637
800	0.2734962169
801	0.273360778
802	0.273256229
803	0.273175883
804	0.2730810267
805	0.2728849679
806	0.2727600477
807	0.2726756994
808	0.272521796
809	0.2723590693
810	0.2722432735
811	0.2721340853
812	0.271963762
813	0.2718189176
814	0.2716787864
815	0.2714859896
816	0.2714238509
817	0.2713680669
818	0.271252519
819	0.2711656286
820	0.271091952
821	0.2710124801
822	0.2709281904
823	0.2708467475
824	0.2707700968
825	0.2705793659
826	0.2704224041
827	0.2703253776
828	0.2701706354
829	0.2701055505
830	0.2699495775
831	0.2698790649
832	0.2698115241
833	0.2697487561
834	0.2696895122
835	0.2695392339
836	0.2694359057
837	0.2693555889
838	0.2691955015
839	0.2691222219
840	0.2690123123
841	0.2689499728
842	0.2688760377
843	0.2687718068
844	0.2686332509
845	0.2685351027
846	0.2684546952
847	0.2683535058
848	0.2682482265
849	0.2681682015
850	0.2680487371
851	0.2679600981
852	0.2678732529
853	0.2677569376
854	0.2676563951
855	0.267545404
856	0.267439536
857	0.2673424607
858	0.2672823966
859	0.2671009228
860	0.2669659441
861	0.2668843754
862	0.2667795437
863	0.266740579
864	0.2666842833
865	0.266622683
866	0.2664119546
867	0.2663017223
868	0.2661482136
869	0.2661027593
870	0.2659442589
871	0.2657669136
872	0.2656284955
873	0.26555081
874	0.2654232988
875	0.2653217471
876	0.2651967309
877	0.2650986098
878	0.2650242851
879	0.2649631749
880	0.2648729517
881	0.2647596058
882	0.2646212449
883	0.264548404
884	0.2644582029
885	0.2643726278
886	0.2642906631
887	0.2642063782
888	0.264154727
889	0.2640202104
890	0.2639188862
891	0.2638143261
892	0.2637399891
893	0.2636837924
894	0.2635934786
895	0.263484666
896	0.2633902218
897	0.2632460056
898	0.2631041593
899	0.2630220931
900	0.2629296523
901	0.2628268715
902	0.2627509562
903	0.262633156
904	0.2625352821
905	0.2624079112
906	0.2623469976
907	0.2622589106
908	0.2621763234
909	0.2620544775
910	0.2618806873
911	0.2617961083
912	0.2616993291
913	0.2615454056
914	0.2613742977
915	0.2613104222
916	0.2612179972
917	0.2611042767
918	0.260981932
919	0.260788222
920	0.2606748969
921	0.2606023367
922	0.2605079343
923	0.2603593364
924	0.2602672039
925	0.2601817004
926	0.260127106
927	0.2599717972
928	0.259778025
929	0.259707784
