iter	Passed	Remaining
0	2	2334
1	4	2056
2	5	1927
3	7	1871
4	9	1962
5	11	1919
6	13	1871
7	15	1882
8	17	1889
9	18	1862
10	20	1838
11	22	1824
12	24	1825
13	25	1812
14	27	1811
15	29	1796
16	30	1790
17	32	1782
18	34	1771
19	36	1770
20	37	1761
21	39	1751
22	41	1751
23	42	1746
24	44	1739
25	46	1732
26	47	1728
27	49	1723
28	51	1717
29	52	1712
30	54	1707
31	56	1704
32	58	1700
33	59	1696
34	61	1692
35	63	1693
36	64	1689
37	66	1684
38	68	1680
39	69	1678
40	71	1674
41	73	1670
42	75	1670
43	77	1685
44	80	1704
45	82	1717
46	84	1714
47	89	1775
48	92	1790
49	94	1794
50	97	1804
51	99	1810
52	101	1817
53	104	1823
54	106	1830
55	108	1837
56	110	1834
57	112	1829
58	114	1822
59	115	1816
60	117	1810
61	119	1804
62	120	1798
63	122	1792
64	124	1787
65	126	1783
66	127	1778
67	129	1774
68	132	1793
69	134	1788
70	136	1783
71	138	1780
72	140	1782
73	142	1778
74	144	1776
75	145	1771
76	147	1766
77	149	1761
78	150	1756
79	152	1752
80	154	1749
81	156	1746
82	157	1742
83	159	1737
84	161	1733
85	162	1729
86	164	1726
87	166	1722
88	167	1717
89	169	1713
90	171	1711
91	173	1707
92	174	1703
93	176	1699
94	178	1696
95	179	1692
96	181	1689
97	183	1686
98	184	1682
99	186	1679
100	188	1675
101	189	1672
102	191	1669
103	193	1665
104	194	1661
105	196	1658
106	198	1654
107	199	1651
108	201	1647
109	203	1645
110	204	1641
111	206	1638
112	208	1635
113	209	1631
114	211	1629
115	213	1626
116	215	1623
117	216	1619
118	218	1616
119	220	1613
120	221	1610
121	223	1606
122	224	1603
123	226	1600
124	228	1597
125	229	1595
126	231	1591
127	233	1588
128	234	1586
129	236	1583
130	238	1580
131	239	1578
132	241	1575
133	243	1572
134	244	1569
135	246	1566
136	248	1563
137	249	1560
138	251	1557
139	253	1555
140	254	1552
141	256	1550
142	258	1547
143	259	1545
144	261	1543
145	263	1540
146	265	1537
147	266	1535
148	268	1532
149	270	1530
150	271	1527
151	273	1525
152	275	1522
153	276	1519
154	278	1517
155	280	1515
156	281	1513
157	283	1510
158	285	1508
159	286	1506
160	288	1503
161	290	1501
162	291	1498
163	293	1496
164	295	1494
165	296	1491
166	298	1489
167	300	1487
168	302	1485
169	303	1482
170	305	1480
171	307	1478
172	308	1476
173	310	1473
174	312	1471
175	313	1468
176	315	1466
177	317	1464
178	318	1461
179	320	1460
180	322	1457
181	323	1455
182	325	1453
183	327	1451
184	328	1448
185	330	1446
186	332	1444
187	333	1442
188	335	1440
189	337	1438
190	338	1435
191	340	1433
192	342	1431
193	343	1428
194	345	1426
195	347	1424
196	348	1421
197	350	1419
198	352	1417
199	353	1415
200	355	1413
201	357	1411
202	359	1409
203	360	1407
204	362	1405
205	363	1402
206	365	1400
207	367	1398
208	368	1396
209	370	1394
210	372	1391
211	373	1389
212	375	1388
213	377	1386
214	379	1384
215	380	1382
216	382	1380
217	384	1378
218	385	1376
219	387	1373
220	389	1371
221	390	1369
222	392	1367
223	394	1365
224	399	1375
225	402	1378
226	404	1377
227	406	1375
228	407	1373
229	409	1371
230	411	1369
231	413	1367
232	414	1365
233	417	1365
234	418	1363
235	420	1361
236	422	1359
237	423	1357
238	425	1355
239	427	1352
240	428	1350
241	430	1348
242	432	1346
243	433	1344
244	435	1342
245	437	1340
246	438	1338
247	440	1335
248	442	1333
249	443	1331
250	445	1329
251	447	1327
252	449	1325
253	450	1323
254	452	1321
255	453	1319
256	455	1317
257	457	1315
258	459	1313
259	460	1311
260	462	1309
261	464	1307
262	465	1304
263	467	1302
264	469	1300
265	471	1299
266	472	1298
267	474	1296
268	476	1295
269	478	1294
270	480	1293
271	482	1292
272	484	1290
273	486	1289
274	488	1287
275	490	1286
276	492	1285
277	501	1303
278	504	1303
279	507	1304
280	509	1302
281	511	1303
282	514	1304
283	516	1302
284	518	1301
285	520	1300
286	522	1298
287	524	1297
288	527	1298
289	530	1297
290	535	1304
291	537	1304
292	539	1302
293	541	1300
294	543	1298
295	545	1297
296	547	1296
297	549	1294
298	559	1311
299	563	1315
300	566	1314
301	568	1313
302	569	1311
303	573	1314
304	576	1312
305	579	1313
306	581	1312
307	583	1310
308	585	1308
309	587	1307
310	589	1305
311	591	1303
312	596	1308
313	598	1306
314	600	1305
315	603	1305
316	606	1307
317	609	1307
318	611	1306
319	616	1309
320	618	1307
321	621	1308
322	623	1307
323	625	1304
324	627	1303
325	630	1302
326	631	1300
327	636	1304
328	638	1302
329	640	1301
330	642	1298
331	644	1297
332	647	1297
333	649	1295
334	651	1293
335	661	1307
336	664	1308
337	668	1308
338	670	1307
339	672	1305
340	676	1307
341	679	1307
342	682	1307
343	684	1305
344	687	1304
345	689	1304
346	692	1302
347	694	1301
348	697	1300
349	700	1300
350	707	1307
351	712	1310
352	715	1310
353	718	1311
354	720	1309
355	723	1307
356	724	1305
357	735	1319
358	739	1321
359	744	1323
360	747	1323
361	751	1323
362	754	1324
363	758	1325
364	762	1326
365	766	1327
366	770	1329
367	774	1330
368	779	1332
369	782	1332
370	785	1332
371	787	1329
372	789	1326
373	791	1324
374	792	1321
375	795	1319
376	796	1316
377	798	1314
378	800	1311
379	801	1308
380	803	1305
381	805	1302
382	807	1300
383	808	1297
384	810	1294
385	811	1291
386	813	1288
387	815	1285
388	816	1282
389	818	1280
390	820	1277
391	821	1274
392	823	1271
393	824	1268
394	826	1266
395	828	1263
396	829	1260
397	831	1257
398	833	1254
399	834	1252
400	836	1249
401	838	1246
402	839	1243
403	841	1241
404	842	1238
405	844	1235
406	846	1233
407	848	1231
408	850	1229
409	852	1226
410	853	1223
411	855	1221
412	857	1218
413	859	1216
414	860	1213
415	862	1210
416	864	1208
417	865	1205
418	867	1202
419	869	1200
420	870	1197
421	872	1194
422	873	1192
423	875	1189
424	877	1186
425	878	1184
426	880	1181
427	882	1178
428	883	1176
429	885	1173
430	887	1171
431	888	1168
432	890	1165
433	891	1163
434	893	1160
435	895	1157
436	896	1155
437	898	1152
438	900	1150
439	901	1147
440	903	1145
441	906	1144
442	908	1141
443	909	1139
444	912	1137
445	913	1135
446	915	1132
447	917	1130
448	919	1128
449	921	1126
450	923	1124
451	925	1121
452	927	1119
453	928	1116
454	930	1114
455	931	1111
456	933	1109
457	935	1106
458	936	1104
459	938	1101
460	940	1099
461	942	1097
462	943	1094
463	945	1092
464	947	1089
465	948	1087
466	950	1084
467	951	1082
468	953	1079
469	955	1077
470	956	1074
471	958	1072
472	960	1069
473	961	1067
474	963	1064
475	965	1062
476	966	1059
477	968	1057
478	970	1055
479	971	1052
480	973	1050
481	974	1047
482	976	1045
483	978	1042
484	979	1040
485	981	1038
486	983	1035
487	984	1033
488	986	1030
489	988	1028
490	989	1026
491	991	1023
492	993	1021
493	994	1018
494	999	1019
495	1003	1019
496	1006	1018
497	1008	1016
498	1009	1013
499	1011	1011
500	1013	1009
501	1015	1006
502	1016	1004
503	1018	1002
504	1020	1000
505	1021	997
506	1023	995
507	1025	992
508	1027	990
509	1028	988
510	1030	986
511	1032	983
512	1033	981
513	1035	979
514	1037	976
515	1038	974
516	1040	971
517	1042	969
518	1043	967
519	1045	965
520	1048	963
521	1050	962
522	1053	961
523	1055	958
524	1057	956
525	1058	954
526	1060	952
527	1062	949
528	1064	947
529	1065	945
530	1067	943
531	1069	940
532	1071	938
533	1072	936
534	1074	933
535	1076	931
536	1077	929
537	1079	926
538	1081	924
539	1082	922
540	1084	920
541	1086	917
542	1089	916
543	1091	914
544	1094	913
545	1106	920
546	1109	918
547	1111	916
548	1112	914
549	1114	912
550	1116	909
551	1118	908
552	1125	909
553	1127	908
554	1131	907
555	1134	905
556	1137	904
557	1145	907
558	1148	906
559	1152	905
560	1155	903
561	1159	903
562	1162	902
563	1165	900
564	1175	905
565	1180	905
566	1184	904
567	1188	903
568	1192	903
569	1194	901
570	1197	899
571	1199	897
572	1203	896
573	1206	895
574	1209	893
