iter	Logloss
0	0.6819716298
1	0.6702426917
2	0.6579720235
3	0.6463119225
4	0.636324477
5	0.6254314181
6	0.6154236027
7	0.6053028446
8	0.5972398743
9	0.5877992905
10	0.5808678587
11	0.5752578206
12	0.5695784374
13	0.5625893917
14	0.5558064965
15	0.5491882837
16	0.544219761
17	0.5400022875
18	0.5362201109
19	0.5323454281
20	0.5285201718
21	0.5231826916
22	0.5196764369
23	0.5152318821
24	0.5118530213
25	0.5086564414
26	0.5056794205
27	0.5017121919
28	0.4987948203
29	0.4953136749
30	0.4926935619
31	0.4896857837
32	0.4866555072
33	0.4839216603
34	0.4822340769
35	0.4800046209
36	0.4779911112
37	0.4756437397
38	0.4738497297
39	0.4718547215
40	0.4703475707
41	0.468796982
42	0.4673298068
43	0.4654455962
44	0.4632639774
45	0.4618024715
46	0.4599379883
47	0.458243132
48	0.4569089596
49	0.4560642619
50	0.4547312231
51	0.4530509574
52	0.4517667719
53	0.450196038
54	0.4491582582
55	0.4477834459
56	0.4464606511
57	0.445362968
58	0.4441964432
59	0.443242351
60	0.4424564965
61	0.441332805
62	0.440408933
63	0.4396314488
64	0.4386056924
65	0.4374840782
66	0.436659433
67	0.4356062334
68	0.4348621502
69	0.433710183
70	0.4329555293
71	0.4321981707
72	0.4314203378
73	0.4305003946
74	0.4294586308
75	0.4285645834
76	0.4281203976
77	0.4272867837
78	0.4268130917
79	0.426034449
80	0.4256213865
81	0.425098869
82	0.4245720292
83	0.4237403832
84	0.4230286572
85	0.4223865041
86	0.4218206618
87	0.4211528236
88	0.4204906987
89	0.4199351721
90	0.4193582458
91	0.4187491498
92	0.4181240451
93	0.4175847964
94	0.4172610042
95	0.4166663871
96	0.4158424742
97	0.4152058755
98	0.4146705034
99	0.4139685456
100	0.4136092296
101	0.4133088137
102	0.4129064964
103	0.4124567561
104	0.4121149039
105	0.4115872502
106	0.4112102996
107	0.4106662823
108	0.4100138409
109	0.4096447509
110	0.4093059494
111	0.4087978327
112	0.4081596958
113	0.4077969283
114	0.4070841411
115	0.4067366306
116	0.405993475
117	0.4053964535
118	0.4049569589
119	0.4047651524
120	0.4043120582
121	0.4038211356
122	0.4035639596
123	0.4031609047
124	0.4028332448
125	0.4024080491
126	0.4019389201
127	0.4014105008
128	0.4009293038
129	0.4004423522
130	0.4000309412
131	0.3997314218
132	0.3994343334
133	0.3990030596
134	0.3987767818
135	0.3984801292
136	0.3980719709
137	0.3976346633
138	0.3972537585
139	0.3968719017
140	0.3965148279
141	0.396257033
142	0.3958982472
143	0.3955443301
144	0.3952213971
145	0.3948114703
146	0.3945685964
147	0.3942818479
148	0.3939917965
149	0.3934009895
150	0.3931742625
151	0.392867571
152	0.392254015
153	0.3920108631
154	0.3917231332
155	0.3914938526
156	0.3911954051
157	0.390600801
158	0.3902898708
159	0.39013959
160	0.3899168866
161	0.3896993562
162	0.3891158457
163	0.3887587544
164	0.3884584503
165	0.3881931709
166	0.3877616862
167	0.3875128814
168	0.3872423089
169	0.3869767665
170	0.3867134036
171	0.3865603564
172	0.3861782742
173	0.3859973233
174	0.3857761904
175	0.3854965756
176	0.3853242378
177	0.384993895
178	0.3848071867
179	0.3845730664
180	0.3843151911
181	0.3840098263
182	0.3835434752
183	0.383407196
184	0.3832169711
185	0.3829606773
186	0.3827398149
187	0.3826160584
188	0.3822528505
189	0.3819991344
190	0.3816523546
191	0.3814566319
192	0.3813105179
193	0.381159384
194	0.3808904764
195	0.380747582
196	0.3806367205
197	0.3803822677
198	0.3802123345
199	0.3800324909
200	0.3793986815
201	0.3791987037
202	0.3790864804
203	0.3787980824
204	0.3786837138
205	0.3785164075
206	0.3779759619
207	0.3777639902
208	0.3775606583
209	0.3773977822
210	0.3772365328
211	0.3770212861
212	0.3768103483
213	0.376564161
214	0.3762987456
215	0.3761435889
216	0.3758940842
217	0.3756169837
218	0.3754922282
219	0.3751738632
220	0.3749132682
221	0.3747497814
222	0.374497827
223	0.3740670909
224	0.3739370648
225	0.3738256215
226	0.3735743452
227	0.3732680187
228	0.3731475224
229	0.3729912614
230	0.3728847885
231	0.3727350115
232	0.3723330297
233	0.3720983055
234	0.3719865552
235	0.3718090817
236	0.3716624008
237	0.3714341777
238	0.3712761917
239	0.3711052213
240	0.3707329505
241	0.3705064756
242	0.3702877699
243	0.3700701807
244	0.3699714389
245	0.3697371216
246	0.3695907057
247	0.3690988177
248	0.3688918578
249	0.3686719245
250	0.3684838126
251	0.3683234401
252	0.3680320583
253	0.3675642792
