iter	Passed	Remaining
0	1	1980
1	3	1995
2	5	1993
3	8	2054
4	10	2000
5	12	1991
6	13	1971
7	15	1954
8	17	1914
9	19	1919
10	21	1896
11	22	1877
12	24	1865
13	26	1880
14	28	1867
15	30	1853
16	31	1839
17	33	1843
18	35	1832
19	37	1820
20	39	1818
21	40	1811
22	42	1813
23	44	1802
24	46	1798
25	48	1808
26	50	1803
27	51	1798
28	53	1800
29	55	1792
30	57	1784
31	58	1777
32	60	1770
33	62	1763
34	63	1756
35	65	1750
36	67	1745
37	68	1741
38	70	1736
39	72	1731
40	73	1726
41	75	1720
42	77	1715
43	78	1711
44	80	1706
45	82	1702
46	83	1698
47	85	1694
48	87	1690
49	88	1686
50	90	1682
51	92	1682
52	93	1678
53	95	1674
54	97	1670
55	98	1667
56	100	1663
57	102	1660
58	103	1656
59	105	1653
60	107	1650
61	108	1646
62	110	1643
63	112	1640
64	113	1636
65	115	1634
66	117	1630
67	118	1627
68	120	1624
69	122	1622
70	123	1619
71	125	1616
72	127	1614
73	128	1612
74	130	1609
75	132	1606
76	133	1603
77	135	1601
78	137	1599
79	138	1596
80	140	1593
81	142	1591
82	143	1589
83	145	1588
84	147	1586
85	149	1583
86	150	1581
87	152	1578
88	154	1576
89	155	1574
90	157	1571
91	159	1569
92	164	1600
93	166	1605
94	168	1609
95	171	1612
96	173	1616
97	176	1621
98	178	1624
99	180	1628
100	183	1630
101	185	1634
102	188	1637
103	190	1642
104	193	1647
105	195	1649
106	197	1650
107	200	1652
108	202	1658
109	205	1659
110	207	1663
111	210	1667
112	212	1667
113	214	1669
114	217	1672
115	219	1675
116	222	1678
117	224	1679
118	227	1680
119	229	1682
120	232	1685
121	234	1687
122	237	1690
123	239	1691
124	241	1693
125	244	1693
126	246	1694
127	248	1695
128	251	1696
129	253	1699
130	256	1702
131	258	1702
132	261	1702
133	263	1703
134	266	1704
135	268	1704
136	270	1700
137	271	1697
138	273	1693
139	275	1689
140	276	1685
141	278	1682
142	280	1678
143	281	1675
144	283	1671
145	285	1667
146	286	1664
147	288	1660
148	290	1657
149	291	1653
150	293	1650
151	295	1646
152	296	1643
153	298	1639
154	300	1636
155	301	1632
156	303	1629
157	305	1626
158	306	1622
159	308	1619
160	310	1615
161	311	1612
162	313	1609
163	315	1605
164	316	1602
165	318	1599
166	319	1596
167	321	1592
168	323	1589
169	324	1586
170	326	1583
171	328	1580
172	329	1577
173	331	1574
