iter	Logloss
0	0.6812282065
1	0.6686758097
2	0.6553070151
3	0.6430619931
4	0.6309358562
5	0.6232417387
6	0.6136439254
7	0.6034381023
8	0.5932859346
9	0.5863031895
10	0.5786503125
11	0.571040958
12	0.5621277164
13	0.5563968551
14	0.550800993
15	0.5435467675
16	0.537911843
17	0.5331024266
18	0.5273810717
19	0.5214476466
20	0.5170320515
21	0.5124641364
22	0.5083950186
23	0.5051924953
24	0.5007899299
25	0.4966708101
26	0.4936743627
27	0.4903916878
28	0.4875187731
29	0.485029152
30	0.4820514181
31	0.4785581617
32	0.4759022591
33	0.4736920561
34	0.471918372
35	0.4692548075
36	0.4667876555
37	0.4644664837
38	0.4626933971
39	0.4609599816
40	0.4594695356
41	0.4578437643
42	0.4564693799
43	0.4543722968
44	0.4525980647
45	0.4512550468
46	0.4498068174
47	0.4481290623
48	0.4468417525
49	0.445799685
50	0.4447718209
51	0.4434257454
52	0.442665612
53	0.4411322319
54	0.4395955095
55	0.4385013274
56	0.437331942
57	0.4361610466
58	0.4349173236
59	0.4342370653
60	0.4330062327
61	0.4319604348
62	0.430812394
63	0.42887689
64	0.4279860809
65	0.4266812028
66	0.4256819919
67	0.4246913254
68	0.4238774084
69	0.4227982109
70	0.4218854418
71	0.42129047
72	0.4205303124
73	0.4196162896
74	0.4189461223
75	0.4180576843
76	0.417250457
77	0.4165128483
78	0.4159923194
79	0.4153438816
80	0.4146781438
81	0.4141345107
82	0.4135345594
83	0.4129302071
84	0.4121006175
85	0.4109815272
86	0.4101653599
87	0.409688988
88	0.4088092754
89	0.4080572253
90	0.407290244
91	0.4066036182
92	0.4060598765
93	0.4052706416
94	0.4048471936
95	0.4042044522
96	0.4036334515
97	0.4030663153
98	0.4024312905
99	0.4018365307
100	0.401272676
101	0.4008673482
102	0.4004607314
103	0.3999634309
104	0.3993672808
105	0.3987997006
106	0.3978960948
107	0.3972186358
108	0.3968751394
109	0.396507018
110	0.3962007684
111	0.3958961854
112	0.3950561229
113	0.3947608331
114	0.3943010768
115	0.3940686734
116	0.3935939171
117	0.3934139316
118	0.3930366702
119	0.3926775467
120	0.3923670397
121	0.3919383383
122	0.3915398239
123	0.390850551
124	0.390157698
125	0.3898083579
126	0.3894967877
127	0.3891563411
128	0.3888116722
129	0.3881796696
130	0.3878710471
131	0.3873540928
132	0.3870297173
133	0.3866523421
134	0.3861525353
135	0.3854817527
136	0.3852396487
137	0.3848059292
138	0.3845865321
139	0.3843169831
140	0.3840617532
141	0.3840297959
142	0.3837040184
143	0.3832547399
144	0.3829667779
145	0.382511147
146	0.3823782879
147	0.3821083599
148	0.3818585289
149	0.3816397396
150	0.3812653903
151	0.3809839376
152	0.3807708702
153	0.380382467
154	0.3800720487
155	0.3798885612
156	0.379534784
157	0.3792379865
158	0.3790015781
159	0.3785449762
160	0.3782978382
161	0.3780502314
162	0.377768467
163	0.3775510265
164	0.3768934765
165	0.3766474744
166	0.3763957967
167	0.3761436794
168	0.3758470379
169	0.3755637771
170	0.375403685
171	0.3749781813
172	0.374578105
173	0.3744266761
174	0.3739647058
175	0.3737562083
176	0.3735337624
177	0.3733448769
178	0.3727723221
179	0.3725376753
180	0.3723566135
181	0.3720507818
182	0.3718342924
183	0.3716444423
184	0.3713193544
185	0.3711784868
186	0.3708751859
187	0.3707097567
188	0.3704198259
189	0.3702376707
190	0.3699669631
191	0.3698004425
192	0.3695308712
193	0.3693799529
194	0.3690960507
195	0.3687773158
196	0.3682594853
197	0.3678455598
198	0.3677179933
199	0.3675773483
200	0.3672519309
201	0.3669869677
202	0.3667733801
203	0.3665569081
204	0.3663574252
205	0.3661900018
206	0.3658901459
207	0.3656979256
208	0.3654848466
209	0.3652779447
210	0.365117426
211	0.3649517008
212	0.3648043942
213	0.3646041418
214	0.3643180001
215	0.3637864838
216	0.3635433423
217	0.3632947498
218	0.3631191952
219	0.3629464747
220	0.3627667221
221	0.3625794895
222	0.3624096952
223	0.3622242774
224	0.3619920723
225	0.3618506461
226	0.3616891287
227	0.361460182
228	0.3612988901
229	0.361125198
230	0.3607557508
231	0.3605791688
232	0.3604349732
233	0.3601997669
234	0.3600472597
235	0.3597494111
236	0.3595767977
237	0.3594295046
238	0.3592457143
239	0.3591477389
240	0.3589713249
241	0.3587657276
242	0.3586220532
243	0.358493798
244	0.3580741637
245	0.3579206096
246	0.357709803
247	0.3575417802
248	0.3573833683
249	0.3570712384
250	0.3569125349
251	0.3566724399
252	0.3565477291
253	0.3563900092
254	0.3561765321
255	0.3560437848
256	0.3557869585
257	0.3554688984
258	0.3553014291
259	0.3550807665
260	0.3549287595
261	0.3544129096
262	0.3542239941
263	0.3539404954
264	0.3537939323
265	0.3536372693
266	0.3534928438
267	0.3532568161
268	0.353067125
269	0.3528144314
270	0.3524302094
271	0.3522059409
272	0.3520257829
273	0.3518089351
274	0.3514568309
275	0.35114166
276	0.3508831527
277	0.3504743127
278	0.3502762814
279	0.350160905
280	0.3499984898
281	0.349779717
282	0.349493545
283	0.3493762903
284	0.3491159375
285	0.3490048321
286	0.3487210555
287	0.3485922738
288	0.3484829076
289	0.3482992387
290	0.3481451355
291	0.3479494037
292	0.3477876653
293	0.3476959383
294	0.3475072711
295	0.3474211389
296	0.3471624797
297	0.3470301795
298	0.3465394056
299	0.3461643699
300	0.3460115086
301	0.3458455547
302	0.3457140192
303	0.3455946003
304	0.345437048
305	0.3452518757
306	0.3448956575
307	0.344709109
308	0.3445298675
309	0.3443385691
310	0.3440193845
311	0.3436640382
312	0.3434557612
313	0.343320151
314	0.3431162284
315	0.3429514987
316	0.3427830442
317	0.342491191
318	0.3421057557
319	0.3419884411
320	0.3417890094
321	0.3415672038
322	0.3412424835
323	0.3410946221
324	0.3409007173
325	0.3406849342
326	0.3405901446
327	0.3403797387
328	0.3402165662
329	0.3400791106
330	0.3398957768
331	0.3396914093
332	0.33953711
333	0.3390960811
334	0.3389326491
335	0.3388073108
336	0.3386416749
337	0.3384792156
338	0.3383051648
339	0.3380778228
340	0.3379957965
341	0.3377194978
342	0.337645276
343	0.3374845878
344	0.3372617882
345	0.3370939656
346	0.3369314588
347	0.3367095021
348	0.3365940586
349	0.3363391182
350	0.3361174174
351	0.3359008683
352	0.3357035993
353	0.3354324441
354	0.3353151789
355	0.3352065313
356	0.3350017601
357	0.334799545
358	0.334666879
359	0.3343842844
360	0.334281254
361	0.3340772593
362	0.3339243703
363	0.3336861702
364	0.3334856251
365	0.3333145028
366	0.3331390221
367	0.3328045852
