iter	Passed	Remaining
0	2	2229
1	4	2051
2	6	2022
3	7	1917
4	9	1918
5	11	1897
6	13	1860
7	14	1840
8	18	1989
9	21	2095
10	23	2100
11	25	2084
12	27	2062
13	28	2038
14	31	2048
15	33	2037
16	34	2011
17	37	2033
18	38	2011
19	40	2001
20	42	1981
21	44	1995
22	46	1988
23	48	1971
24	50	1968
25	52	1967
26	54	1958
27	55	1943
28	58	1964
29	60	1963
30	62	1949
31	64	1952
32	66	1948
33	68	1940
34	70	1933
35	72	1936
36	74	1930
37	77	1954
38	80	1990
39	83	2004
40	86	2032
41	89	2036
42	92	2049
43	94	2058
44	98	2100
45	102	2120
46	104	2123
47	107	2129
48	109	2130
49	112	2146
50	115	2148
51	118	2158
52	121	2163
53	123	2162
54	126	2169
55	128	2170
56	131	2172
57	134	2177
58	136	2176
59	138	2176
60	140	2165
61	142	2156
62	144	2145
63	146	2137
64	147	2126
65	149	2119
66	151	2109
67	153	2102
68	155	2094
69	156	2084
70	158	2079
71	160	2070
72	162	2062
73	164	2053
74	167	2059
75	169	2064
76	172	2070
77	175	2070
78	177	2069
79	179	2064
80	182	2066
81	184	2065
82	186	2063
83	189	2069
84	191	2063
85	193	2055
86	195	2048
87	197	2045
88	199	2038
89	201	2037
90	203	2031
91	205	2025
92	207	2023
93	209	2018
94	211	2011
95	213	2008
96	215	2002
97	216	1994
98	218	1989
99	220	1984
100	222	1978
101	224	1972
102	226	1968
103	227	1963
104	229	1958
105	231	1954
106	233	1950
107	235	1944
108	237	1938
109	238	1933
110	241	1930
111	242	1925
112	244	1920
113	246	1916
114	248	1911
115	250	1907
116	252	1903
117	254	1900
118	256	1896
119	258	1893
120	260	1888
121	264	1903
122	266	1900
123	268	1899
124	270	1894
125	272	1890
126	275	1891
127	277	1888
128	279	1884
129	281	1882
130	283	1878
131	285	1874
132	287	1872
133	289	1868
134	291	1864
135	292	1860
136	294	1858
137	297	1855
138	298	1851
139	300	1847
140	302	1844
141	304	1837
142	305	1833
143	307	1830
144	309	1826
145	311	1823
146	313	1818
147	315	1815
148	317	1812
149	319	1808
150	322	1810
151	324	1810
152	326	1807
153	329	1807
154	331	1808
155	333	1804
156	335	1804
157	337	1800
158	339	1797
159	341	1795
160	343	1791
161	345	1788
162	347	1786
163	349	1783
164	351	1780
165	353	1776
166	362	1807
167	375	1860
168	379	1863
169	381	1863
170	384	1865
171	387	1864
172	390	1865
173	392	1864
174	396	1868
175	398	1867
176	401	1867
177	404	1866
178	406	1865
179	409	1865
180	412	1865
181	414	1864
182	417	1863
183	419	1861
184	422	1860
185	425	1863
186	428	1863
187	434	1876
188	437	1877
189	440	1877
190	442	1876
191	445	1876
192	448	1875
193	455	1891
194	461	1904
195	466	1913
196	470	1917
197	474	1923
198	478	1926
199	480	1922
200	482	1917
201	484	1913
202	486	1909
203	488	1905
204	490	1900
205	492	1897
206	494	1894
207	496	1890
208	498	1888
209	500	1884
210	502	1880
211	504	1876
212	506	1872
213	508	1868
214	510	1864
215	512	1861
216	514	1856
217	516	1852
218	518	1850
219	520	1846
220	522	1841
221	524	1837
222	526	1835
223	528	1831
224	530	1828
225	532	1825
226	534	1821
227	536	1817
228	538	1814
229	540	1810
230	542	1806
231	544	1802
232	546	1799
233	548	1795
234	550	1791
235	552	1788
236	554	1785
237	556	1781
238	558	1777
239	560	1773
240	561	1769
241	563	1766
242	565	1763
243	567	1758
244	569	1754
245	571	1751
246	573	1747
247	574	1743
248	576	1738
249	578	1734
250	579	1730
251	581	1726
252	583	1722
253	584	1718
254	586	1713
255	588	1711
256	590	1707
257	592	1703
258	594	1701
259	596	1697
260	597	1693
261	600	1690
262	601	1686
263	603	1683
264	605	1679
265	607	1677
266	609	1673
267	611	1670
268	613	1668
269	615	1664
270	617	1661
271	619	1657
272	621	1654
273	623	1651
274	625	1647
275	627	1645
276	628	1641
277	630	1637
278	632	1634
279	634	1631
280	635	1627
281	637	1623
282	639	1619
283	640	1615
284	642	1612
285	644	1609
286	646	1606
287	648	1603
288	650	1599
289	652	1596
290	654	1594
291	656	1591
292	658	1587
293	659	1584
294	661	1581
295	663	1577
296	665	1574
297	666	1570
298	668	1567
299	670	1564
300	672	1561
301	674	1558
302	675	1554
303	677	1550
304	679	1547
305	680	1544
306	682	1541
307	685	1540
308	687	1536
309	689	1534
310	691	1531
311	692	1527
312	698	1532
313	701	1532
314	704	1532
315	707	1531
316	710	1530
317	713	1529
318	719	1534
319	722	1534
320	729	1542
321	733	1544
322	737	1546
323	742	1548
324	745	1549
325	750	1551
326	753	1551
327	758	1553
328	762	1554
329	765	1554
330	768	1552
331	777	1564
332	780	1563
333	783	1561
334	786	1561
335	789	1559
336	792	1558
337	798	1564
338	802	1565
339	806	1565
340	809	1564
341	813	1564
342	815	1562
343	824	1571
344	829	1574
345	832	1573
346	834	1571
347	837	1569
348	841	1568
349	844	1567
350	846	1565
351	849	1563
352	852	1562
353	856	1563
