iter	Logloss
0	0.6816242241
1	0.6677765829
2	0.6551446271
3	0.6421122358
4	0.6317795455
5	0.6206439621
6	0.6105705402
7	0.6004214796
8	0.5924435107
9	0.5834673361
10	0.5768665524
11	0.5707261162
12	0.5649138843
13	0.5579562135
14	0.5525063357
15	0.545815572
16	0.5405558767
17	0.5364472372
18	0.5323150822
19	0.5277681128
20	0.5239528913
21	0.5197723201
22	0.5162083538
23	0.5132020915
24	0.5094632576
25	0.5061567248
26	0.5032463589
27	0.4989719133
28	0.4948357518
29	0.4913123008
30	0.4887243727
31	0.4859474229
32	0.4831843651
33	0.4800409797
34	0.4784957043
35	0.4762239234
36	0.4742547345
37	0.4718399141
38	0.4697838532
39	0.4679492412
40	0.4664475891
41	0.4649833445
42	0.4634354855
43	0.4618567718
44	0.4595434271
45	0.4582352902
46	0.4564229954
47	0.4548752112
48	0.4538066466
49	0.4517391649
50	0.4500641056
51	0.4490350454
52	0.4474941137
53	0.4461866882
54	0.4448737209
55	0.4437291806
56	0.4427838846
57	0.4416748796
58	0.4402808067
59	0.4390055089
60	0.438031605
61	0.4372257162
62	0.4362441361
63	0.4353820426
64	0.4344925769
65	0.4333980256
66	0.4323148201
67	0.4314125108
68	0.4304950738
69	0.4293826238
70	0.4286002504
71	0.4273371223
72	0.426506782
73	0.42571501
74	0.4245890799
75	0.4236371936
76	0.422509204
77	0.4217313614
78	0.4209499242
79	0.4201298439
80	0.4194356907
81	0.4190141362
82	0.4184143815
83	0.4177519441
84	0.4169407382
85	0.4164547037
86	0.4158359645
87	0.4153061194
88	0.4144964862
89	0.4138949716
90	0.4134725185
91	0.4130410785
92	0.4125050176
93	0.4117089394
94	0.4114303121
95	0.4107066523
96	0.410107684
97	0.4090946876
98	0.4086076795
99	0.4077923921
100	0.4071166992
101	0.4068422282
102	0.4064411187
103	0.4060058219
104	0.4056792651
105	0.4051781403
106	0.4048017818
107	0.4041669413
108	0.4036613979
109	0.4032667663
110	0.4030596961
111	0.402391642
112	0.4018764379
113	0.4012542163
114	0.4006509793
115	0.4002523411
116	0.3997230577
117	0.3992067302
118	0.3987971955
119	0.3984747202
120	0.3977849855
121	0.3972826999
122	0.3966466237
123	0.3958632019
124	0.395283967
125	0.394817591
126	0.3945228998
127	0.3942588759
128	0.3938928897
129	0.3934083903
130	0.3930358512
131	0.3927920851
132	0.3920878966
133	0.3918591458
134	0.3915784216
135	0.3913293382
136	0.3909488982
137	0.3905258085
138	0.3901896658
139	0.389824054
140	0.3894803474
141	0.3889709473
142	0.38865656
143	0.3883286552
144	0.3880261006
145	0.3877767177
146	0.3873267051
147	0.3870821151
148	0.3868071199
149	0.3865241864
150	0.3860126519
151	0.3857172492
152	0.385517668
153	0.3850048978
154	0.3847495986
155	0.3844671144
156	0.3842754715
157	0.3837450273
158	0.3833453781
159	0.3832065325
160	0.3829297774
161	0.3826147161
162	0.3822701109
163	0.3819739593
164	0.3812171234
165	0.3808851371
166	0.3804959724
167	0.3802563626
168	0.3799832397
169	0.3797037511
170	0.3794978042
171	0.3791710976
172	0.3789287544
173	0.3787044221
174	0.3784178939
175	0.3780879296
176	0.3777337759
177	0.3774775031
178	0.3772325387
179	0.3770248694
180	0.3768301935
181	0.3764651808
182	0.3762324608
183	0.3760260646
184	0.3758749371
185	0.3753563629
186	0.3751756914
187	0.3750644052
188	0.3748659099
189	0.3746519873
190	0.3743757938
191	0.3741636686
192	0.3739917217
193	0.3738524642
194	0.3736341605
195	0.3734175044
196	0.3732552932
197	0.3730702406
198	0.3729109501
199	0.3727254481
200	0.3723828275
201	0.3722375788
202	0.3719475682
203	0.3716918945
204	0.3714469301
205	0.3712216992
206	0.3710017105
207	0.3707813848
208	0.3705632309
209	0.3703790396
210	0.36979108
211	0.3694947787
212	0.3692925014
213	0.3691222021
214	0.3688991804
215	0.3687197071
216	0.3686111544
217	0.3683399037
218	0.3682048774
219	0.3679336267
220	0.3675852021
221	0.3673160483
222	0.3670239033
223	0.3668410974
224	0.3667418685
225	0.3666211087
226	0.3663788029
227	0.3662059948
228	0.36605981
229	0.3658794754
230	0.3657393192
231	0.3655710419
232	0.3653702625
233	0.3651691086
234	0.3650434061
235	0.3647956708
236	0.3646514705
237	0.3642849975
238	0.3641224118
239	0.3638314651
240	0.3636798882
241	0.3635119105
242	0.3631336423
243	0.3630309684
244	0.362880103
245	0.3627144843
246	0.3625067026
247	0.362103908
248	0.3619756219
249	0.3617511773
250	0.3615450432
251	0.3611201561
252	0.3609723237
253	0.3608089143
254	0.3606381656
255	0.3604542364
256	0.3602243248
257	0.3600565717
258	0.3598909905
259	0.3596814489
260	0.3594653171
261	0.3591908461
262	0.3590739806
263	0.358966027
264	0.3587886132
265	0.3585477677
266	0.3583010059
267	0.3581855259
268	0.3580258235
269	0.3578694162
270	0.3577543855
271	0.3575756986
272	0.3574305622
273	0.3570880913
274	0.3567576777
275	0.3565542022
276	0.3563651056
277	0.3561850331
278	0.3560249563
279	0.3556921462
280	0.3554700606
281	0.3552780807
282	0.355089658
283	0.3547827598
284	0.35443104
285	0.3540359591
286	0.353761563
287	0.3535793187
288	0.3532878103
289	0.3530444561
290	0.3528914188
291	0.3526492253
292	0.3524733467
293	0.3522672127
294	0.3521345454
295	0.351921222
296	0.3517141518
297	0.3515911828
298	0.3514062051
299	0.3512115666
300	0.3509478423
301	0.35074388
302	0.3505728692
303	0.3504232395
304	0.3503058498
305	0.3501545725
306	0.3500242643
307	0.3498847072
308	0.3497297228
309	0.3494706792
310	0.3491942236
311	0.3490016446
312	0.3485794535
313	0.3483802468
314	0.3482594121
315	0.3480174433
316	0.3477341354
317	0.3475469109
318	0.3474068671
319	0.347313517
320	0.3471556119
321	0.3469175374
322	0.3467688812
323	0.346519049
324	0.3463245228
325	0.3462476485
326	0.3460178118
327	0.345871627
328	0.3456680391
329	0.345446328
330	0.3451882204
331	0.3449417582
332	0.3446169613
333	0.3444883382
334	0.3441802791
335	0.3440011054
336	0.3438110352
337	0.3437040926
338	0.3434981457
339	0.3432948949
340	0.3431732365
341	0.3429122082
342	0.3428156379
343	0.3426477725
344	0.3424192089
345	0.3422875527
346	0.3420629958
347	0.341862778
348	0.3416172894
349	0.3414061751
350	0.3412888977
351	0.3411571667
352	0.3410182461
353	0.3409023542
354	0.3405419473
355	0.3404390487
356	0.340209549
357	0.3399641727
358	0.3397791201
359	0.3395899486
360	0.3394138453
361	0.3393124071
362	0.3390537753
363	0.3387491612
364	0.3386023024
365	0.3384129062
366	0.3380648935
367	0.3378524312
368	0.337605632
369	0.3374084847
370	0.3371945247
371	0.337035646
372	0.336827415
373	0.3366540452
374	0.3365294287
375	0.3363117241
376	0.3360265439
377	0.3359132357
378	0.3356411612
379	0.3355086063
380	0.3353061793
381	0.3351059241
382	0.3349240543
383	0.3347910501
384	0.3346009424
